2020-02-04 19:13:31.779 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lewic.todoscore.service.UserServiceTest], using SpringBootContextLoader
2020-02-04 19:17:12.648 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-04 19:17:12.694 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@19c97cb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@19caaeb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a15bdc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a59da3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e47833, org.springframework.test.context.transaction.TransactionalTestExecutionListener@16745d6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1508c5d, org.springframework.test.context.event.EventPublishingTestExecutionListener@1704591, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@15189ac, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4d3ce5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1dc6915, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4deff2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@19614be]
2020-02-04 19:17:13.308 [main] INFO  c.l.t.service.UserServiceTest - Starting UserServiceTest on DESKTOP-OV0MBIP with PID 10872 (started by lewic in E:\lewic\code\git\todo-score)
2020-02-04 19:17:13.308 [main] DEBUG c.l.t.service.UserServiceTest - Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
2020-02-04 19:17:13.308 [main] INFO  c.l.t.service.UserServiceTest - The following profiles are active: dev
2020-02-04 19:17:14.216 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-02-04 19:17:14.292 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63ms. Found 4 JPA repository interfaces.
2020-02-04 19:17:14.721 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cycleTypeDao' and 'com.lewic.todoscore.dao.jpa.primary.CycleTypeDao' mapperInterface. Bean already defined with the same name!
2020-02-04 19:17:14.721 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'taskDao' and 'com.lewic.todoscore.dao.jpa.primary.TaskDao' mapperInterface. Bean already defined with the same name!
2020-02-04 19:17:14.721 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'taskRecordDao' and 'com.lewic.todoscore.dao.jpa.primary.TaskRecordDao' mapperInterface. Bean already defined with the same name!
2020-02-04 19:17:14.721 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'workdayDao' and 'com.lewic.todoscore.dao.jpa.primary.WorkdayDao' mapperInterface. Bean already defined with the same name!
2020-02-04 19:17:14.721 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'taskRecordMapper' and 'com.lewic.todoscore.dao.mybatis.master.TaskRecordMapper' mapperInterface. Bean already defined with the same name!
2020-02-04 19:17:14.721 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'com.lewic.todoscore.dao.mybatis.master.UserMapper' mapperInterface. Bean already defined with the same name!
2020-02-04 19:17:14.722 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.lewic.todoscore.dao]' package. Please check your configuration.
2020-02-04 19:17:15.073 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-02-04 19:17:15.380 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: primaryPersistenceUnit]
2020-02-04 19:17:15.472 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.9.Final}
2020-02-04 19:17:15.649 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-02-04 19:17:16.152 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-02-04 19:17:16.755 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-02-04 19:17:16.835 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2020-02-04 19:17:18.197 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-02-04 19:17:18.209 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'primaryPersistenceUnit'
2020-02-04 19:17:19.377 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-02-04 19:17:20.231 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-02-04 19:17:20.518 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-02-04 19:17:20.567 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-02-04 19:17:20.595 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-02-04 19:17:20.609 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-02-04 19:17:20.842 [main] INFO  c.l.t.service.UserServiceTest - Started UserServiceTest in 8.079 seconds (JVM running for 9.585)
2020-02-04 19:17:20.968 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-02-04 19:17:21.646 [main] DEBUG c.l.t.d.m.master.UserMapper.insert - ==>  Preparing: INSERT INTO user (username, password, role, status) VALUES (?, ?, ?, ?) 
2020-02-04 19:17:21.661 [main] DEBUG c.l.t.d.m.master.UserMapper.insert - ==> Parameters: zhang3(String), 123456(String), null, null
2020-02-04 19:17:21.811 [main] DEBUG c.l.t.d.m.master.UserMapper.insert - <==    Updates: 1
2020-02-04 19:17:21.853 [main] DEBUG c.l.t.d.m.master.UserMapper.list - ==>  Preparing: SELECT * FROM user ORDER BY id limit ?,? 
2020-02-04 19:17:21.854 [main] DEBUG c.l.t.d.m.master.UserMapper.list - ==> Parameters: 0(Integer), 10(Integer)
2020-02-04 19:17:21.929 [main] DEBUG c.l.t.d.m.master.UserMapper.list - <==      Total: 3
2020-02-04 19:17:21.930 [main] INFO  c.l.t.service.UserServiceTest - [User(id=2, username=zhang3, password=123456, role=null, mobile=null, status=null, createTime=2020-01-28 10:13:22, updateTime=2020-01-28 10:13:22), User(id=3, username=zhang3, password=123456, role=null, mobile=null, status=null, createTime=2020-02-04 11:13:42, updateTime=2020-02-04 11:13:42), User(id=4, username=zhang3, password=123456, role=null, mobile=null, status=null, createTime=2020-02-04 11:17:21, updateTime=2020-02-04 11:17:21)]
2020-02-04 19:17:22.807 [main] INFO  c.l.t.service.UserServiceTest - [Task(id=2, content=好好学习, score=10, status=0, description=string, cycleTypeId=2, createTime=null, updateTime=null), Task(id=3, content=好好学习222, score=10, status=0, description=string, cycleTypeId=6, createTime=null, updateTime=null), Task(id=4, content=早睡, score=10, status=1, description=好好休息, cycleTypeId=null, createTime=2020-02-04 19:13:43.0, updateTime=2020-02-04 19:13:43.0), Task(id=5, content=早睡, score=10, status=1, description=好好休息, cycleTypeId=null, createTime=2020-02-04 19:17:22.0, updateTime=2020-02-04 19:17:22.0)]
2020-02-04 19:17:22.825 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lewic.todoscore.TodoScoreApplicationTests], using SpringBootContextLoader
2020-02-04 19:17:22.827 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.lewic.todoscore.TodoScoreApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-04 19:17:22.827 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lewic.todoscore.TodoScoreApplicationTests]: TodoScoreApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-04 19:17:22.836 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lewic.todoscore.TodoScoreApplication for test class com.lewic.todoscore.TodoScoreApplicationTests
2020-02-04 19:17:22.839 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-04 19:17:22.839 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@dc702b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1b2123e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@86bcaa, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@9671e6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@13a0f37, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c8db0c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@11a5b93, org.springframework.test.context.event.EventPublishingTestExecutionListener@ee1ad7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1d2ea0a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fa4a07, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2143e8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4bd699, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3eb60]
2020-02-04 19:17:22.916 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-02-04 19:17:22.917 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-04 19:17:22.929 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-02-04 19:17:22.930 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'primaryPersistenceUnit'
2020-02-04 19:17:22.930 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-02-04 19:17:22.933 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
